id,date_added,channel,title,url,published,views,baseline,multiple,views_per_day,vpd_multiple,thumbnail_url,duration,formula_tag,why
goQ4ii-zBMw,2026-08-09,Spanning Tree,The Mathematical Danger of Democratic Voting,https://www.youtube.com/watch?v=goQ4ii-zBMw,2020-06-02,1040077,186769,5.57,460.4,3.47,https://i.ytimg.com/vi/goQ4ii-zBMw/hqdefault.jpg,494,,
h9Z4oGN89MU,2026-08-09,Branch Education,How do Graphics Cards Work?  Exploring GPU Architecture,https://www.youtube.com/watch?v=h9Z4oGN89MU,2024-10-19,7355568,1973129,3.73,11161.7,4.60,https://i.ytimg.com/vi/h9Z4oGN89MU/hqdefault.jpg,1710,,
dX9CGRZwD-w,2026-08-09,Branch Education,How are Microchips Made? 🖥️🛠️ CPU Manufacturing Process Steps,https://www.youtube.com/watch?v=dX9CGRZwD-w,2024-05-17,11351925,1973129,5.75,13945.9,5.74,https://i.ytimg.com/vi/dX9CGRZwD-w/hqdefault.jpg,1668,,
qs2QcycggWU,2026-08-09,Branch Education,How does Starlink Satellite Internet Work?📡☄🖥,https://www.youtube.com/watch?v=qs2QcycggWU,2022-08-19,9643530,1973129,4.89,6646.1,2.74,https://i.ytimg.com/vi/qs2QcycggWU/hqdefault.jpg,1689,,
1I1vxu5qIUM,2026-08-09,Branch Education,How does Bluetooth Work?,https://www.youtube.com/watch?v=1I1vxu5qIUM,2021-05-19,10352506,1973129,5.25,5425.8,2.24,https://i.ytimg.com/vi/1I1vxu5qIUM/hqdefault.jpg,1295,,
tLdRBsuvVKc,2026-08-09,Kevin Fang,"Dev Deletes Entire Production Database, Chaos Ensues",https://www.youtube.com/watch?v=tLdRBsuvVKc,2023-04-26,3472510,494515,7.02,2891.3,4.54,https://i.ytimg.com/vi/tLdRBsuvVKc/hqdefault.jpg,620,,
GEbn3nHyKnA,2026-08-09,Kevin Fang,How One Line of Code Almost Blew Up the Internet,https://www.youtube.com/watch?v=GEbn3nHyKnA,2023-02-20,2334052,494515,4.72,1843.6,2.90,https://i.ytimg.com/vi/GEbn3nHyKnA/hqdefault.jpg,827,,
-0HRzXk8vlk,2026-08-09,Computerphile,Why AI Tokens are so Expensive - Computerphile,https://www.youtube.com/watch?v=-0HRzXk8vlk,2026-07-02,711240,49993,14.23,18716.8,22.84,https://i.ytimg.com/vi/-0HRzXk8vlk/hqdefault.jpg,1522,,
_MoRcYLN-7U,2026-08-09,Computerphile,Post Quantum Cryptography - Computerphile,https://www.youtube.com/watch?v=_MoRcYLN-7U,2026-04-02,184184,49993,3.68,1427.8,1.74,https://i.ytimg.com/vi/_MoRcYLN-7U/hqdefault.jpg,807,,
YDdKiQNw80c,2026-08-09,Computerphile,Vector Search with LLMs - Computerphile,https://www.youtube.com/watch?v=YDdKiQNw80c,2026-03-11,157543,49993,3.15,1043.3,1.27,https://i.ytimg.com/vi/YDdKiQNw80c/hqdefault.jpg,1218,,
MiUHjLxm3V0,2026-08-09,Veritasium,The World's Most Important Machine,https://www.youtube.com/watch?v=MiUHjLxm3V0,2025-12-31,35419576,9283231,3.82,160269.6,2.94,https://i.ytimg.com/vi/MiUHjLxm3V0/hqdefault.jpg,3300,,
7DKv5H5Frt0,2026-08-09,Tom Scott,"After ten years, it's time to stop weekly videos.",https://www.youtube.com/watch?v=7DKv5H5Frt0,2024-01-01,12151675,1359669,8.94,12777.8,1.19,https://i.ytimg.com/vi/7DKv5H5Frt0/hqdefault.jpg,491,,
LDiXNsWQzD0,2026-08-09,Tom Scott,Why use many streetlights when one will do?,https://www.youtube.com/watch?v=LDiXNsWQzD0,2023-11-27,4131892,1359669,3.04,4190.6,0.39,https://i.ytimg.com/vi/LDiXNsWQzD0/hqdefault.jpg,338,,
XQIu5tZ0vbQ,2026-08-09,Tom Scott,0-100 in less than a second. And I'm driving.,https://www.youtube.com/watch?v=XQIu5tZ0vbQ,2023-10-23,5036442,1359669,3.70,4932.9,0.46,https://i.ytimg.com/vi/XQIu5tZ0vbQ/hqdefault.jpg,328,,
RhdQTNT5xu4,2026-08-09,Company Man,Game Completely LOST IT at VERZUZ,https://www.youtube.com/watch?v=RhdQTNT5xu4,2026-07-24,97310,23090,4.21,6081.9,7.73,https://i.ytimg.com/vi/RhdQTNT5xu4/hqdefault.jpg,1721,,
